,well,fov,centroid-0,centroid-1
2787,r05c18,3,818.6697674418605,455.6755813953488
2788,r05c18,3,852.7024265644956,110.26947637292464
2789,r05c18,3,869.851282051282,58.238461538461536
2790,r05c18,3,877.1970181043663,307.653887113951
2791,r05c18,3,882.1533388293487,540.282769991756
2792,r05c18,3,884.9018338727077,988.5738942826322
2793,r05c18,3,894.0683371298405,262.26537585421414
2794,r05c18,3,901.1697341513292,349.7566462167689
2795,r05c18,3,911.792656587473,164.7937365010799
2796,r05c18,3,921.2022244691608,20.28412537917088
2797,r05c18,3,936.543630892678,63.98495486459378
2798,r05c18,3,935.9868421052632,1067.546783625731
2799,r05c18,3,944.8555992141454,287.66502946954813
2800,r05c18,3,947.6960556844548,223.22041763341068
2801,r05c18,3,981.5785007072136,632.2390381895333
2802,r05c18,3,989.1744885679904,585.8014440433213
2803,r05c18,3,999.0548271752086,1066.9058402860549
2804,r05c18,3,1004.2741935483872,38.1889400921659
2805,r05c18,3,1027.645422943221,84.16106604866744
2806,r05c18,3,1041.9736263736263,885.6417582417582
2807,r05c18,3,1057.1401273885351,905.3545647558386
2808,r05c18,3,1067.0682593856654,305.74971558589306
2809,r05c18,3,1071.9458544839256,1021.8680203045684
2810,r05c18,3,1072.5839598997493,59.56390977443609
2811,r05c18,3,1074.7578125,380.46875
2812,r05c18,3,1076.0344827586207,898.0862068965517
2813,r07c18,4,5.095419847328245,584.5801526717557
2814,r07c18,4,4.046448087431694,950.5765027322404
2815,r07c18,4,6.414264036418817,1038.4719271623671
2816,r07c18,4,28.56792873051225,539.6629547141797
2817,r07c18,4,36.92076830732293,335.99639855942377
2818,r07c18,4,58.90248565965583,481.8087954110899
2819,r07c18,4,64.01646090534979,145.30699588477367
2820,r07c18,4,63.79504504504504,887.2623873873874
2821,r07c18,4,65.39670658682634,1010.6833832335328
2822,r07c18,4,77.3906510851419,650.6552587646077
2823,r07c18,4,92.13707451701931,280.066237350506
2824,r07c18,4,111.99303621169916,998.9972144846796
2825,r07c18,4,116.46987951807228,106.54518072289156
2826,r07c18,4,130.66974789915966,786.3042016806722
2827,r07c18,4,135.17446270543616,991.0834386852086
2828,r07c18,4,144.31620903454385,538.4251550044287
2829,r07c18,4,166.8348887293611,671.6066044508256
2830,r07c18,4,178.6580027359781,151.54309165526675
2831,r07c18,4,215.3621533442088,425.7090810222947
2832,r07c18,4,220.53626634958383,536.8097502972652
2833,r07c18,4,239.59744680851065,471.77531914893615
2834,r07c18,4,229.22727272727272,391.5681818181818
2835,r07c18,4,247.625468164794,609.549063670412
2836,r07c18,4,234.40625,582.53125
2837,r07c18,4,246.61331444759207,100.54532577903684
2838,r07c18,4,247.2745398773006,63.46165644171779
2839,r07c18,4,239.8,429.77777777777777
2840,r07c18,4,246.14634146341464,411.1544715447154
2841,r07c18,4,268.8817934782609,176.60733695652175
2842,r07c18,4,281.5405797101449,38.01594202898551
2843,r07c18,4,281.2733118971061,218.2073954983923
2844,r07c18,4,285.0168269230769,798.8285256410256
2845,r07c18,4,285.8296892980437,867.4073647871116
2846,r07c18,4,299.9200726612171,655.3687556766575
2847,r07c18,4,310.86764705882354,900.1176470588235
2848,r07c18,4,311.4732620320856,815.8783422459893
2849,r07c18,4,318.4743833017078,7.975332068311196
2850,r07c18,4,326.8032564450475,605.7632293080054
2851,r07c18,4,323.3842065299924,726.9255884586181
2852,r07c18,4,330.3658536585366,851.2374839537869
